,Injection Location (%C),Injection Size (%C),CL,CD,Re,chord
23.5,3,0.75,0.98,0.35,1000000,460
23.5,4,0.5,0.98,0.35,1000000,460
23.5,4,0.5,0.98,0.35,1000000,460
23.5,4,0.5,0.98,0.35,1000000,460
23.5,4,0.5,0.96,0.365,1000000,460
23.5,4,0.5,0.92,0.375,1000000,460
23.5,4,0.75,0.98,0.35,1000000,460
23.5,4,1,0.98,0.35,1000000,460
24,2,0.75,0.92,0.37,1000000,460
24,3,0.75,0.92,0.37,1000000,460
24,4,0.5,0.92,0.37,1000000,460
24,4,0.5,0.92,0.37,1000000,460
24,4,0.5,0.92,0.37,1000000,460
24,4,0.5,0.91,0.38,1000000,460
24,4,0.5,0.85,0.39,1000000,460
24,4,0.75,0.92,0.37,1000000,460
24,4,1,0.92,0.37,1000000,460
24.5,2,0.75,0.88,0.385,1000000,460
24.5,3,0.75,0.88,0.385,1000000,460
24.5,4,0.5,0.88,0.385,1000000,460
24.5,4,0.5,0.88,0.385,1000000,460
24.5,4,0.5,0.88,0.385,1000000,460
24.5,4,0.5,0.87,0.395,1000000,460
24.5,4,0.5,0.82,0.405,1000000,460
24.5,4,0.75,0.88,0.385,1000000,460
24.5,4,1,0.88,0.385,1000000,460
25,2,0.75,0.85,0.4,1000000,460
25,3,0.75,0.85,0.4,1000000,460
25,4,0.5,0.85,0.4,1000000,460
25,4,0.5,0.85,0.4,1000000,460
25,4,0.5,0.85,0.4,1000000,460
25,4,0.5,0.84,0.41,1000000,460
25,4,0.5,0.8,0.42,1000000,460
25,4,0.75,0.85,0.4,1000000,460
25,4,1,0.85,0.4,1000000,460
0,50,2,0.4,0.18,2000000,600
0.5,50,2,0.43,0.184,2000000,600
1,50,2,0.46,0.188,2000000,600
1.5,50,2,0.49,0.192,2000000,600
2,50,2,0.52,0.196,2000000,600
2.5,50,2,0.55,0.2,2000000,600
3,50,2,0.59,0.206,2000000,600
3.5,50,2,0.63,0.212,2000000,600
4,50,2,0.67,0.218,2000000,600
4.5,50,2,0.71,0.224,2000000,600
5,50,2,0.75,0.23,2000000,600
5.5,50,2,0.79,0.238,2000000,600
6,50,2,0.83,0.246,2000000,600
6.5,50,2,0.87,0.254,2000000,600
7,50,2,0.91,0.262,2000000,600
7.5,50,2,0.95,0.27,2000000,600
8,50,2,0.97,0.28,2000000,600
8.5,50,2,0.99,0.29,2000000,600
9,50,2,1.01,0.3,2000000,600
9.5,50,2,1.03,0.31,2000000,600
10,50,2,1.05,0.32,2000000,600
10.5,50,2,1.08,0.336,2000000,600
11,50,2,1.11,0.352,2000000,600
11.5,50,2,1.14,0.368,2000000,600
12,50,2,1.17,0.384,2000000,600
12.5,50,2,1.2,0.4,2000000,600
13,50,2,1.24,0.424,2000000,600
13.5,50,2,1.28,0.448,2000000,600
14,50,2,1.32,0.472,2000000,600
14.5,50,2,1.36,0.496,2000000,600
15,50,2,1.4,0.52,2000000,600
15.5,50,2,1.42,0.548,2000000,600
16,50,2,1.44,0.576,2000000,600
16.5,50,2,1.46,0.604,2000000,600
17,50,2,1.48,0.632,2000000,600
17.5,50,2,1.5,0.66,2000000,600
18,50,2,1.53,0.688,2000000,600
18.5,50,2,1.56,0.716,2000000,600
19,50,2,1.59,0.744,2000000,600
19.5,50,2,1.62,0.772,2000000,600
20,50,2,1.65,0.8,2000000,600
20.5,50,2,1.67,0.82,2000000,600
21,50,2,1.69,0.84,2000000,600
21.5,50,2,1.71,0.86,2000000,600
22,50,2,1.73,0.88,2000000,600
22.5,50,2,1.75,0.9,2000000,600
23,50,2,1.76,0.924,2000000,600
23.5,50,2,1.77,0.948,2000000,600
24,50,2,1.78,0.972,2000000,600
24.5,50,2,1.79,0.996,2000000,600
25,50,2,1.8,1.02,2000000,600
25.5,50,2,1.77,1.052,2000000,600
26,50,2,1.74,1.084,2000000,600
26.5,50,2,1.71,1.116,2000000,600
27,50,2,1.68,1.148,2000000,600
27.5,50,2,1.65,1.18,2000000,600
