AoA (degrees),Suction Location (%C),calc_suction_loc,Suction Size (%C),calc_suction_slot_size,CL,CD,Re,chord
-4,53,243.8,1,4.6,0.15,0.02,1000000,460
-3.5,53,243.8,1,4.6,0.2,0.02,1000000,460
-3,53,243.8,1,4.6,0.25,0.02,1000000,460
-2.5,53,243.8,1,4.6,0.3,0.019,1000000,460
-2,53,243.8,1,4.6,0.35,0.018,1000000,460
-1.5,53,243.8,1,4.6,0.4,0.018,1000000,460
-1,53,243.8,1,4.6,0.45,0.018,1000000,460
-0.5,53,243.8,1,4.6,0.5,0.018,1000000,460
0,53,243.8,1,4.6,0.55,0.018,1000000,460
0.5,53,243.8,1,4.6,0.6,0.018,1000000,460
1,53,243.8,1,4.6,0.65,0.018,1000000,460
1.5,53,243.8,1,4.6,0.7,0.018,1000000,460
2,53,243.8,1,4.6,0.75,0.018,1000000,460
2.5,53,243.8,1,4.6,0.8,0.019,1000000,460
3,53,243.8,1,4.6,0.85,0.02,1000000,460
3.5,53,243.8,1,4.6,0.9,0.022,1000000,460
4,53,243.8,1,4.6,0.95,0.025,1000000,460
4.5,53,243.8,1,4.6,1,0.028,1000000,460
5,53,243.8,1,4.6,1.05,0.03,1000000,460
5.5,53,243.8,1,4.6,1.1,0.035,1000000,460
6,53,243.8,1,4.6,1.15,0.04,1000000,460
6.5,53,243.8,1,4.6,1.2,0.045,1000000,460
7,53,243.8,1,4.6,1.25,0.05,1000000,460
7.5,53,243.8,1,4.6,1.3,0.055,1000000,460
8,53,243.8,1,4.6,1.35,0.06,1000000,460
8.5,53,243.8,1,4.6,1.4,0.08,1000000,460
9,53,243.8,1,4.6,1.45,0.1,1000000,460
9.5,53,243.8,1,4.6,1.5,0.11,1000000,460
10,53,243.8,1,4.6,1.55,0.12,1000000,460
10.5,53,243.8,1,4.6,1.58,0.125,1000000,460
11,53,243.8,1,4.6,1.6,0.13,1000000,460
11.5,53,243.8,1,4.6,1.62,0.135,1000000,460
12,53,243.8,1,4.6,1.63,0.14,1000000,460
12.5,53,243.8,1,4.6,1.64,0.145,1000000,460
13,53,243.8,1,4.6,1.65,0.15,1000000,460
17.5,65,299,0.5,2.3,1.47,0.205,1000000,460
17.5,80,368,0.5,2.3,1.45,0.225,1000000,460
17.5,53,243.8,1,4.6,1.51,0.19,1000000,460
17.5,53,243.8,1,4.6,1.51,0.19,1000000,460
18,53,243.8,1,4.6,1.48,0.2,1000000,460
18,53,243.8,1,4.6,1.48,0.2,1000000,460
18,53,243.8,0.5,2.3,1.48,0.2,1000000,460
18,53,243.8,0.75,3.45,1.48,0.2,1000000,460
18,53,243.8,1,4.6,1.48,0.2,1000000,460
18,65,299,0.5,2.3,1.45,0.21,1000000,460
18,80,368,0.5,2.3,1.43,0.23,1000000,460
18,53,243.8,1,4.6,1.48,0.2,1000000,460
18,53,243.8,1,4.6,1.48,0.2,1000000,460
18.5,53,243.8,1,4.6,1.45,0.21,1000000,460
18.5,53,243.8,1,4.6,1.45,0.21,1000000,460
18.5,53,243.8,0.5,2.3,1.45,0.21,1000000,460
18.5,53,243.8,0.75,3.45,1.45,0.21,1000000,460
18.5,53,243.8,1,4.6,1.45,0.21,1000000,460
18.5,65,299,0.5,2.3,1.41,0.225,1000000,460
18.5,80,368,0.5,2.3,1.4,0.24,1000000,460
18.5,53,243.8,1,4.6,1.45,0.21,1000000,460
18.5,53,243.8,1,4.6,1.45,0.21,1000000,460
19,53,243.8,1,4.6,1.42,0.22,1000000,460
19,53,243.8,1,4.6,1.42,0.22,1000000,460
19,53,243.8,0.5,2.3,1.42,0.22,1000000,460
19,53,243.8,0.75,3.45,1.42,0.22,1000000,460
19,53,243.8,1,4.6,1.42,0.22,1000000,460
19,65,299,0.5,2.3,1.38,0.24,1000000,460
19,80,368,0.5,2.3,1.36,0.25,1000000,460
19,53,243.8,1,4.6,1.42,0.22,1000000,460
19,53,243.8,1,4.6,1.42,0.22,1000000,460
19.5,53,243.8,1,4.6,1.38,0.235,1000000,460
19.5,53,243.8,1,4.6,1.38,0.235,1000000,460
19.5,53,243.8,0.5,2.3,1.38,0.235,1000000,460
19.5,53,243.8,0.75,3.45,1.38,0.235,1000000,460
19.5,53,243.8,1,4.6,1.38,0.235,1000000,460
19.5,65,299,0.5,2.3,1.35,0.25,1000000,460
19.5,80,368,0.5,2.3,1.33,0.26,1000000,460
19.5,53,243.8,1,4.6,1.38,0.235,1000000,460
19.5,53,243.8,1,4.6,1.38,0.235,1000000,460
20,53,243.8,1,4.6,1.35,0.25,1000000,460
20,53,243.8,1,4.6,1.35,0.25,1000000,460
20,53,243.8,0.5,2.3,1.35,0.25,1000000,460
20,53,243.8,0.75,3.45,1.35,0.25,1000000,460
20,53,243.8,1,4.6,1.35,0.25,1000000,460
20,65,299,0.5,2.3,1.32,0.26,1000000,460
20,80,368,0.5,2.3,1.3,0.27,1000000,460
20,53,243.8,1,4.6,1.35,0.25,1000000,460
20,53,243.8,1,4.6,1.35,0.25,1000000,460
20.5,53,243.8,1,4.6,1.3,0.265,1000000,460
20.5,53,243.8,1,4.6,1.3,0.265,1000000,460
20.5,53,243.8,0.5,2.3,1.3,0.265,1000000,460
20.5,53,243.8,0.75,3.45,1.3,0.265,1000000,460
20.5,53,243.8,1,4.6,1.3,0.265,1000000,460
20.5,65,299,0.5,2.3,1.27,0.275,1000000,460
20.5,80,368,0.5,2.3,1.25,0.285,1000000,460
20.5,53,243.8,1,4.6,1.3,0.265,1000000,460
20.5,53,243.8,1,4.6,1.3,0.265,1000000,460
21,53,243.8,1,4.6,1.26,0.28,1000000,460
21,53,243.8,1,4.6,1.26,0.28,1000000,460
21,53,243.8,0.5,2.3,1.26,0.28,1000000,460
21,53,243.8,0.75,3.45,1.26,0.28,1000000,460
21,53,243.8,1,4.6,1.26,0.28,1000000,460
21,65,299,0.5,2.3,1.23,0.29,1000000,460
21,80,368,0.5,2.3,1.2,0.3,1000000,460
21,53,243.8,1,4.6,1.26,0.28,1000000,460
21,53,243.8,1,4.6,1.26,0.28,1000000,460
21.5,53,243.8,1,4.6,1.21,0.29,1000000,460
21.5,53,243.8,1,4.6,1.21,0.29,1000000,460
21.5,53,243.8,0.5,2.3,1.21,0.29,1000000,460
21.5,53,243.8,0.75,3.45,1.21,0.29,1000000,460
21.5,53,243.8,1,4.6,1.21,0.29,1000000,460
21.5,65,299,0.5,2.3,1.18,0.3,1000000,460
21.5,80,368,0.5,2.3,1.16,0.31,1000000,460
21.5,53,243.8,1,4.6,1.21,0.29,1000000,460
21.5,53,243.8,1,4.6,1.21,0.29,1000000,460
22,53,243.8,1,4.6,1.17,0.3,1000000,460
22,53,243.8,1,4.6,1.17,0.3,1000000,460
22,53,243.8,0.5,2.3,1.17,0.3,1000000,460
22,53,243.8,0.75,3.45,1.17,0.3,1000000,460
22,53,243.8,1,4.6,1.17,0.3,1000000,460
22,65,299,0.5,2.3,1.14,0.31,1000000,460
22,80,368,0.5,2.3,1.12,0.32,1000000,460
22,53,243.8,1,4.6,1.17,0.3,1000000,460
22,53,243.8,1,4.6,1.17,0.3,1000000,460
22.5,53,243.8,1,4.6,1.11,0.315,1000000,460
22.5,53,243.8,1,4.6,1.11,0.315,1000000,460
22.5,53,243.8,0.5,2.3,1.11,0.315,1000000,460
22.5,53,243.8,0.75,3.45,1.11,0.315,1000000,460
22.5,53,243.8,1,4.6,1.11,0.315,1000000,460
22.5,65,299,0.5,2.3,1.08,0.33,1000000,460
22.5,80,368,0.5,2.3,1.06,0.34,1000000,460
22.5,53,243.8,1,4.6,1.11,0.315,1000000,460
22.5,53,243.8,1,4.6,1.11,0.315,1000000,460
23,53,243.8,1,4.6,1.05,0.33,1000000,460
23,53,243.8,1,4.6,1.05,0.33,1000000,460
23,53,243.8,0.5,2.3,1.05,0.33,1000000,460
23,53,243.8,0.75,3.45,1.05,0.33,1000000,460
23,53,243.8,1,4.6,1.05,0.33,1000000,460
23,65,299,0.5,2.3,1.02,0.35,1000000,460
23,80,368,0.5,2.3,1,0.36,1000000,460
23,53,243.8,1,4.6,1.05,0.33,1000000,460
23,53,243.8,1,4.6,1.05,0.33,1000000,460
23.5,53,243.8,1,4.6,0.98,0.35,1000000,460
23.5,53,243.8,1,4.6,0.98,0.35,1000000,460
23.5,53,243.8,0.5,2.3,0.98,0.35,1000000,460
23.5,53,243.8,0.75,3.45,0.98,0.35,1000000,460
23.5,53,243.8,1,4.6,0.98,0.35,1000000,460
23.5,65,299,0.5,2.3,0.96,0.365,1000000,460
23.5,80,368,0.5,2.3,0.92,0.375,1000000,460
23.5,53,243.8,1,4.6,0.98,0.35,1000000,460
23.5,53,243.8,1,4.6,0.98,0.35,1000000,460
24,53,243.8,1,4.6,0.92,0.37,1000000,460
24,53,243.8,1,4.6,0.92,0.37,1000000,460
24,53,243.8,0.5,2.3,0.92,0.37,1000000,460
24,53,243.8,0.75,3.45,0.92,0.37,1000000,460
24,53,243.8,1,4.6,0.92,0.37,1000000,460
24,65,299,0.5,2.3,0.91,0.38,1000000,460
24,80,368,0.5,2.3,0.85,0.39,1000000,460
24,53,243.8,1,4.6,0.92,0.37,1000000,460
24,53,243.8,1,4.6,0.92,0.37,1000000,460
24.5,53,243.8,1,4.6,0.88,0.385,1000000,460
24.5,53,243.8,1,4.6,0.88,0.385,1000000,460
24.5,53,243.8,0.5,2.3,0.88,0.385,1000000,460
24.5,53,243.8,0.75,3.45,0.88,0.385,1000000,460
24.5,53,243.8,1,4.6,0.88,0.385,1000000,460
24.5,65,299,0.5,2.3,0.87,0.395,1000000,460
24.5,80,368,0.5,2.3,0.82,0.405,1000000,460
24.5,53,243.8,1,4.6,0.88,0.385,1000000,460
24.5,53,243.8,1,4.6,0.88,0.385,1000000,460
25,53,243.8,1,4.6,0.85,0.4,1000000,460
25,53,243.8,1,4.6,0.85,0.4,1000000,460
25,53,243.8,0.5,2.3,0.85,0.4,1000000,460
25,53,243.8,0.75,3.45,0.85,0.4,1000000,460
25,53,243.8,1,4.6,0.85,0.4,1000000,460
25,65,299,0.5,2.3,0.84,0.41,1000000,460
25,80,368,0.5,2.3,0.8,0.42,1000000,460
25,53,243.8,1,4.6,0.85,0.4,1000000,460
25,53,243.8,1,4.6,0.85,0.4,1000000,460
0,50,300,2,12,0.7,0.12,2000000,600
0.5,50,300,2,12,0.77,0.126,2000000,600
1,50,300,2,12,0.84,0.132,2000000,600
1.5,50,300,2,12,0.91,0.138,2000000,600
2,50,300,2,12,0.98,0.144,2000000,600
2.5,50,300,2,12,1.05,0.15,2000000,600
3,50,300,2,12,1.13,0.158,2000000,600
3.5,50,300,2,12,1.21,0.166,2000000,600
4,50,300,2,12,1.29,0.174,2000000,600
4.5,50,300,2,12,1.37,0.182,2000000,600
5,50,300,2,12,1.45,0.19,2000000,600
5.5,50,300,2,12,1.52,0.198,2000000,600
6,50,300,2,12,1.59,0.206,2000000,600
6.5,50,300,2,12,1.66,0.214,2000000,600
7,50,300,2,12,1.73,0.222,2000000,600
7.5,50,300,2,12,1.8,0.23,2000000,600
8,50,300,2,12,1.85,0.24,2000000,600
8.5,50,300,2,12,1.9,0.25,2000000,600
9,50,300,2,12,1.95,0.26,2000000,600
9.5,50,300,2,12,2,0.27,2000000,600
10,50,300,2,12,2.05,0.28,2000000,600
10.5,50,300,2,12,2.11,0.294,2000000,600
11,50,300,2,12,2.17,0.308,2000000,600
11.5,50,300,2,12,2.23,0.322,2000000,600
12,50,300,2,12,2.29,0.336,2000000,600
12.5,50,300,2,12,2.35,0.35,2000000,600
13,50,300,2,12,2.42,0.366,2000000,600
13.5,50,300,2,12,2.49,0.382,2000000,600
14,50,300,2,12,2.56,0.398,2000000,600
14.5,50,300,2,12,2.63,0.414,2000000,600
15,50,300,2,12,2.7,0.43,2000000,600
15.5,50,300,2,12,2.76,0.452,2000000,600
16,50,300,2,12,2.82,0.474,2000000,600
16.5,50,300,2,12,2.88,0.496,2000000,600
17,50,300,2,12,2.94,0.518,2000000,600
17.5,50,300,2,12,3,0.54,2000000,600
18,50,300,2,12,3.06,0.566,2000000,600
18.5,50,300,2,12,3.12,0.592,2000000,600
19,50,300,2,12,3.18,0.618,2000000,600
19.5,50,300,2,12,3.24,0.644,2000000,600
20,50,300,2,12,3.3,0.67,2000000,600
20.5,50,300,2,12,3.32,0.69,2000000,600
21,50,300,2,12,3.34,0.71,2000000,600
21.5,50,300,2,12,3.36,0.73,2000000,600
22,50,300,2,12,3.38,0.75,2000000,600
22.5,50,300,2,12,3.4,0.77,2000000,600
23,50,300,2,12,3.43,0.784,2000000,600
23.5,50,300,2,12,3.46,0.798,2000000,600
24,50,300,2,12,3.49,0.812,2000000,600
24.5,50,300,2,12,3.52,0.826,2000000,600
25,50,300,2,12,3.55,0.84,2000000,600
25.5,50,300,2,12,3.5,0.864,2000000,600
26,50,300,2,12,3.45,0.888,2000000,600
26.5,50,300,2,12,3.4,0.912,2000000,600
27,50,300,2,12,3.35,0.936,2000000,600
27.5,50,300,2,12,3.3,0.96,2000000,600
